City,Avg Salary,Distance
Барајево,52176.583333333336,28487
Вождовац,65395.083333333336,24687
Врачар,87766.83333333333,4509
Гроцка,52308.666666666664,35914
Звездара,65709.66666666667,10535
Земун,74811.0,13172
Лазаревац,92371.41666666667,57259
Младеновац,47937.666666666664,52638
Нови Београд,100618.0,8741
Обреновац,74381.66666666667,41466
Палилула,51967.75,4467
Раковица,55682.083333333336,9863
Савски венац,72373.91666666667,666
Сопот,47696.333333333336,54750
Стари град,92993.75,4806
Чукарица,65767.41666666667,19586
Сурчин,116972.66666666667,31486
Апатин,60668.666666666664,197025
Кула,53866.083333333336,138933
Оџаци,54187.583333333336,150567
Сомбор,53538.833333333336,180463
Алибунар,42954.75,56037
Бела Црква,49336.0,127419
Вршац,76209.16666666667,85175
Ковачица,50242.916666666664,52192
Ковин,59302.25,81482
Опово,50504.083333333336,54701
Панчево,69255.16666666667,21301
Пландиште,48157.75,83995
Бач,45386.166666666664,157261
Бачка Паланка,68522.33333333333,132643
Бачки Петровац,43584.416666666664,113650
Беочин,66043.58333333333,92819
Бечеј,55611.583333333336,121208
Жабаљ,53388.083333333336,94707
Нови Сад,75569.83333333333,93820
Петроварадин,55555.833333333336,83096
Србобран,49740.583333333336,127961
Сремски Карловци,54057.5,78741
Темерин,52821.416666666664,104576
Тител,46688.666666666664,67357
Врбас,56668.75,128777
Ада,59886.75,5336
Кањижа,63799.666666666664,198637
Кикинда,57274.25,168842
Нови Кнежевац,59375.833333333336,217462
Сента,55020.75,186774
Чока,51177.666666666664,193975
Бачка Топола,55313.416666666664,156537
Мали Иђош,45828.75,141888
Суботица,62034.416666666664,188998
Житиште,55230.916666666664,96716
Зрењанин,62504.833333333336,82217
Нова Црња,54670.416666666664,118671
Нови Бечеј,47445.666666666664,132326
Сечањ,48338.5,92858
Инђија,58674.25,58940
Ириг,50324.583333333336,70642
Пећинци,72962.58333333333,43681
Рума,52765.833333333336,62946
Сремска Митровица,62959.5,73362
Стара Пазова,54580.583333333336,45669
Шид,57244.583333333336,115305
Ариље,44193.25,172780
Бајина Башта,52089.5,159402
Косјерић,71400.5,130604
Нова Варош,48770.833333333336,257062
Пожега,47771.25,154011
Прибој,45962.583333333336,275451
Пријепоље,45807.833333333336,280192
Сјеница,56134.166666666664,247696
Ужице,64798.333333333336,165725
Севојно,75631.33333333333,161590
Чајетина,52766.583333333336,211238
Ваљево,56566.333333333336,89328
Лајковац,90458.5,62747
Љиг,43039.75,79131
Мионица,48906.583333333336,81169
Осечина,50598.0,110622
Уб,44775.5,58762
Богатић,46841.416666666664,99732
Владимирци,43158.833333333336,73629
Коцељева,54146.75,74478
Крупањ,39901.916666666664,139356
Лозница,47908.333333333336,146820
Љубовија,54904.916666666664,152056
Мали Зворник,49962.083333333336,169617
Шабац,57520.416666666664,76524
Горњи Милановац,60503.416666666664,115743
Ивањица,46279.833333333336,187234
Лучани,75287.33333333333,159086
Чачак,55595.5,135412
Деспотовац,59625.333333333336,135800
Параћин,54159.083333333336,161833
Рековац,47814.333333333336,165854
Јагодина,48821.416666666664,139970
Свилајнац,50078.75,112287
Ћуприја,51210.083333333336,150424
Александровац,47224.916666666664,228766
Брус,45539.0,240570
Варварин,47734.666666666664,182069
Крушевац,55616.583333333336,194754
Трстеник,50360.25,219464
Ћићевац,37606.666666666664,174537
Врњачка Бања,47603.25,229796
Краљево,55616.583333333336,162770
Нови Пазар,49875.0,260147
Рашка,49692.083333333336,239304
Тутин,50492.666666666664,294005
Аранђеловац,57509.416666666664,75425
Баточина,43498.25,118278
Кнић,52715.083333333336,160062
Крагујевац,61096.083333333336,140687
Рача,47077.0,170518
Топола,50070.25,76990
Лапово,53723.916666666664,112982
Бор,69797.58333333333,243804
Кладово,59570.833333333336,246329
Мајданпек,67917.0,182574
Неготин,60675.916666666664,237764
Велико Градиште,46778.5,115206
Голубац,45725.833333333336,129755
Жабари,38709.166666666664,103749
Жагубица,52902.583333333336,172316
Кучево,48045.916666666664,132207
Мало Црниће,38895.083333333336,92291
Петровац на Млави,45769.166666666664,117079
Пожаревац,56281.666666666664,80567
Костолац,102455.66666666667,90399
Бољевац,51655.916666666664,208680
Зајечар,57757.583333333336,243687
Књажевац,45554.333333333336,262495
Сокобања,57618.25,226153
Бојник,45527.916666666664,278725
Власотинце,45387.333333333336,288780
Лебане,43440.25,292126
Лесковац,49878.0,276135
Медвеђа,62893.416666666664,316210
Црна Трава,40308.916666666664,332801
Алексинац,55982.583333333336,207163
Гаџин Хан,38255.333333333336,263828
Дољевац,48009.333333333336,247567
Мерошина,49001.916666666664,247486
Ражањ,43163.916666666664,186213
Сврљиг,39819.75,264064
Ниш,58776.083333333336,238476
Нишка Бања,44113.583333333336,252020
Пантелеј,45304.0,240695
Црвени крст,68591.16666666667,235421
Медијана,60027.666666666664,239163
Бабушница,52861.25,302623
Бела Паланка,38335.75,280050
Димитровград,43591.416666666664,332725
Пирот,73272.75,306201
Велика Плана,52769.416666666664,93484
Смедерево,70730.41666666667,63165
Смедеревска Паланка,46250.333333333336,84139
Босилеград,48647.25,387725
Бујановац,47350.166666666664,359866
Владичин Хан,44086.583333333336,318326
Врање,54597.916666666664,345703
Врањска Бања,43548.583333333336,338107
Прешево,48976.833333333336,385411
Сурдулица,53548.083333333336,328087
Трговиште,34782.5,390753
Блаце,48466.5,241492
Житорађа,50891.666666666664,263220
Куршумлија,51705.916666666664,262143
Прокупље,48747.833333333336,259238
