РЕПУБЛИКА СРБИЈА	57231	41508	64847	46990	65695	47814	68246	49635	64860	47136	67857	49238	66251	48101	65094	47220	66438	48212	64602	46879	65609	47575	74887	54344
СРБИЈА – СЕВЕР	62413	45289	71829	52098	73703	53762	76250	55580	71972	52401	75301	54749	73387	53409	72386	52577	73601	53499	71359	51847	72592	52696	84919	61725
Београдски регион	72130	52367	80793	58698	84016	61384	84840	61944	82376	60186	84054	61159	82879	60506	81191	59128	83322	60756	80304	58359	81061	58902	93567	68207
Београдска област	72130	52367	80793	58698	84016	61384	84840	61944	82376	60186	84054	61159	82879	60506	81191	59128	83322	60756	80304	58359	81061	58902	93567	68207
Барајево	43783	31704	52487	38036	52297	37905	52578	38105	50281	36433	55868	40478	52730	38215	52331	37929	53127	38487	52371	37967	49602	35957	58664	42548
Вождовац	58290	42257	66819	48201	63657	45967	62635	45341	65558	48551	70968	52365	67334	49472	66102	48706	64738	46901	67920	50203	64764	47647	65956	48367
Врачар	71597	51486	88654	63876	92615	66527	89650	65012	79174	57038	104381	75124	70919	50973	86021	61693	86158	61925	85082	61371	87907	63548	111044	80329
Гроцка	36010	26138	50624	36760	51998	37679	60805	44120	44553	32323	53294	38667	52598	38171	52757	38395	53642	38872	52579	38191	52804	38380	66040	48035
Звездара	58062	41660	65531	47180	65243	47013	65115	46903	66301	47860	66131	47599	64378	46388	66770	48143	67759	48844	64862	46826	66770	48137	71594	51716
Земун	67815	49480	73662	53337	76653	55787	73981	53781	74388	54066	76228	55331	75538	55368	75009	54850	76464	55846	71650	52639	73482	53501	82862	60312
Лазаревац	87804	62755	94063	67122	96539	68932	94156	67248	93387	66682	95147	67899	91832	65554	93260	66588	91911	65627	88822	63475	91477	65363	90059	64338
Младеновац	43336	31474	47578	34538	47437	34501	47890	34628	47942	34660	48607	35255	47832	34710	48366	34672	48708	35321	48183	34986	48507	35195	50866	36779
Нови Београд	83229	60849	94623	70033	99242	73788	107343	79975	101328	74706	98340	72310	103725	76466	96035	70395	104368	77361	95272	69188	96414	70559	127497	94001
Обреновац	69468	49801	75990	54472	74109	53162	75919	54431	73662	52829	74802	53612	73020	52371	73857	52975	75113	53830	72350	51912	79295	56861	74995	53796
Палилула	75830	56265	83248	61569	82329	61213	92067	68248	83715	62187	85686	63559	84935	63018	82326	60995	85009	63047	82535	61361	82566	61163	89768	66365
Раковица	48851	35362	55367	39982	57706	42102	55433	40001	55485	40097	55470	40191	56483	40888	55252	39990	55473	40093	55746	40273	54755	39573	62164	45155
Савски венац	59572	42634	72170	51879	74063	53510	71977	51869	73002	52578	72743	52350	73426	52848	72863	52732	72598	52451	72417	51895	73097	52552	80559	58287
Сопот	42932	31233	46064	33526	47279	34443	47350	34440	48020	34922	47739	34703	48111	35101	48326	35295	48437	35238	47804	34738	48048	34939	52246	37957
Стари град	85808	62741	88041	63870	99650	73521	92336	67251	89785	65845	90749	66022	101268	75054	89093	65099	93034	67974	92530	67887	88666	64589	104965	76691
Чукарица	60402	43990	67044	48766	68143	50312	68049	49579	64200	47001	69409	51135	66539	48278	67376	50035	63233	45872	63195	45867	62759	45543	68860	49848
Сурчин	104020	74332	108018	76151	126135	89993	119860	86205	133547	99623	122207	87312	106878	76417	116809	83293	119986	85975	105648	75214	113167	80550	127397	90608
Регион Војводине	52282	37910	62505	45233	63007	45857	67344	48983	61176	44323	66253	48123	63593	46087	63276	45799	63526	45979	62032	45057	63728	46201	75848	54926
Западнобачка област	44689	32424	54236	39282	53511	38748	56705	41190	52614	38066	55904	40445	54766	39611	54064	39143	55750	40362	54283	39288	54301	39257	64903	46925
Апатин	52621	39204	58582	42358	56052	40553	67889	49516	54690	39365	59572	43088	64959	46756	59882	43219	58796	42426	56739	41083	60369	43600	77873	56268
Кула	50898	36847	55743	40440	53454	38804	54349	39413	53530	38808	54472	39461	54823	39885	50757	36790	54690	39611	54318	39453	48419	35062	60940	44119
Оџаци	26106	19031	51430	37325	55680	40515	52299	37952	49338	35812	56179	40769	51250	37167	54944	40115	56193	40878	56760	41109	54917	39781	85155	61699
Сомбор	46313	33359	53555	38763	52265	37763	56076	40715	52800	38189	55392	40024	53337	38529	53449	38617	55218	39947	52924	38247	54550	39403	56587	40860
Јужнобанатска област	57058	41351	64672	46699	63880	46262	69323	51087	65595	47371	69051	49886	63757	46076	66235	47820	63875	46139	62694	45294	66663	48145	78034	56229
Алибунар	40291	29303	39713	28870	41644	30279	42176	30635	41981	30506	44642	32099	45058	32456	44192	32141	42792	31148	44239	32153	43919	32102	44810	32595
Бела Црква	42659	31109	46871	34100	48013	34973	48767	35500	48433	35489	49821	36288	48454	35254	49106	35416	49070	36006	48913	35645	49090	35681	62835	45696
Вршац	69090	50174	74006	53294	71965	51865	80999	59743	71824	51805	90068	64667	73173	52732	72338	52080	73297	52773	71241	51338	72316	52009	94193	67497
Ковачица	37634	27374	48179	35024	47498	34591	51150	37209	47978	34820	52283	37933	52353	38002	48663	35364	48576	35306	48689	35380	49536	35986	70376	50964
Ковин	37756	27451	58762	42572	60507	44411	60252	43840	57507	41740	59620	43334	60855	44098	58775	42727	59814	43399	59328	43031	59004	42786	79447	58042
Опово	51778	37597	48584	35396	48799	35409	51570	37352	49270	35739	49232	35705	50125	36357	50054	36283	51160	37082	50078	36302	50237	36406	55162	39887
Панчево	60762	43884	69197	49907	67646	48936	73489	54390	71796	51730	68017	49246	65499	47327	72293	52132	66690	48097	65063	46918	72888	52566	77722	55919
Пландиште	48344	35531	46127	33615	47415	34628	51170	37793	47201	34444	48335	35239	48091	35121	47377	34566	46710	34124	48641	35785	50079	37043	48403	35358
Јужнобачка област	54110	39263	69233	50161	70656	51696	74915	54426	65442	47541	72580	53054	70054	50900	68652	49748	69758	50549	67616	49401	69907	50868	85389	62010
Бач	41435	30068	45404	33001	43700	31803	45462	33048	44044	32059	46454	33742	46058	33460	44467	32335	45695	33193	46262	33640	46733	33958	48920	35621
Бачка Паланка	53462	38093	69404	50221	87171	67246	73797	53617	61877	45014	65659	47593	77282	56768	64239	46663	65190	47284	67745	49045	63871	46214	72571	52377
Бачки Петровац	34755	25368	43926	31722	45101	32916	54060	39023	35364	25397	44618	32231	44387	32067	34958	25271	44583	32192	44902	32421	47095	34096	49264	35560
Беочин	53908	39081	69368	50319	91018	68500	66098	47971	61505	44689	69387	49980	63118	45674	56117	40785	64007	46487	60221	43676	62865	45388	74911	54161
Бечеј	50687	36520	54685	39504	54748	39598	57019	41192	54328	39267	57873	41755	54275	39192	54292	39285	56372	40764	56880	41080	55539	40167	60641	43793
