City,Rank,Salary,Distance
Сурчин,96.04959919197512,116972.66666666667,31486
Нови Београд,89.01569019827446,100618.0,8741
Стари град,84.88188835811357,92993.75,4806
Врачар,81.74018670296175,87766.83333333333,4509
Костолац,79.66698654893992,102455.66666666667,90399
Лазаревац,77.78005102263987,92371.41666666667,57259
Лајковац,75.91290437241132,90458.5,62747
Савски венац,72.86856091868249,72373.91666666667,666
Земун,72.74817331640804,74811.0,13172
Обреновац,68.86036352861797,74381.66666666667,41466
Панчево,68.32636127566704,69255.16666666667,21301
Пећинци,67.71315985508863,72962.58333333333,43681
Звездара,67.54942165902033,65709.66666666667,10535
Чукарица,66.42442778088586,65767.41666666667,19586
Вождовац,65.54409204983457,65395.083333333336,24687
Ада,64.67346759111814,59886.75,5336
Вршац,64.36964636148146,76209.16666666667,85175
Смедерево,63.85784019048832,70730.41666666667,63165
Нови Сад,62.872624800558626,75569.83333333333,93820
Раковица,61.535323294283145,55682.083333333336,9863
Палилула,59.967366723269734,51967.75,4467
Сремска Митровица,57.823423583535046,62959.5,73362
Беочин,57.20568028314935,66043.58333333333,92819
Инђија,57.06507395747494,58674.25,58940
Барајево,57.01560912585258,52176.583333333336,28487
Зрењанин,56.411826045409995,62504.833333333336,82217
Стара Пазова,56.27574195632208,54580.583333333336,45669
Гроцка,56.14399427304407,52308.666666666664,35914
Косјерић,55.62138488151497,71400.5,130604
Ковин,54.5577593421896,59302.25,81482
Лучани,54.33519752692047,75287.33333333333,159086
Аранђеловац,54.24346291739025,57509.416666666664,75425
Севојно,54.22351425984752,75631.33333333333,161590
Шабац,54.10928870353547,57520.416666666664,76524
Бачка Паланка,53.609113818366595,68522.33333333333,132643
Рума,52.95724136361163,52765.833333333336,62946
Пожаревац,52.837483256326934,56281.666666666664,80567
Ковачица,52.80084737335649,50242.916666666664,52192
Опово,52.63813195620237,50504.083333333336,54701
Коцељева,52.319183699255774,54146.75,74478
Петроварадин,52.07176751656181,55555.833333333336,83096
Ваљево,51.88770425658289,56566.333333333336,89328
